Date,S&P 500,VIX
1990-01-01,329.0799865722656,
1990-02-01,331.8900146484375,21.989999771118164
1990-03-01,339.94000244140625,19.729999542236328
1990-04-01,330.79998779296875,19.520000457763672
1990-05-01,361.2300109863281,17.3700008392334
1990-06-01,358.0199890136719,15.5
1990-07-01,356.1499938964844,21.110000610351562
1990-08-01,322.55999755859375,29.899999618530273
1990-09-01,306.04998779296875,29.110000610351562
1990-10-01,304.0,30.040000915527344
1990-11-01,322.2200012207031,22.15999984741211
1990-12-01,330.2200012207031,26.3799991607666
1991-01-01,343.92999267578125,20.90999984741211
1991-02-01,367.07000732421875,21.229999542236328
1991-03-01,375.2200012207031,16.8799991607666
1991-04-01,375.3399963378906,18.239999771118164
1991-05-01,389.8299865722656,15.930000305175781
1991-06-01,371.1600036621094,19.549999237060547
1991-07-01,387.80999755859375,15.180000305175781
1991-08-01,395.42999267578125,14.460000038146973
1991-09-01,387.8599853515625,15.850000381469727
1991-10-01,392.45001220703125,15.479999542236328
1991-11-01,375.2200012207031,20.260000228881836
1991-12-01,417.0899963378906,19.309999465942383
1992-01-01,408.7799987792969,17.399999618530273
1992-02-01,412.70001220703125,16.68000030517578
1992-03-01,403.69000244140625,16.18000030517578
1992-04-01,414.95001220703125,15.529999732971191
1992-05-01,415.3500061035156,13.859999656677246
1992-06-01,408.1400146484375,13.350000381469727
1992-07-01,424.2099914550781,13.170000076293945
1992-08-01,414.0299987792969,13.579999923706055
1992-09-01,417.79998779296875,14.279999732971191
1992-10-01,418.67999267578125,16.149999618530273
1992-11-01,431.3500061035156,13.010000228881836
1992-12-01,435.7099914550781,12.569999694824219
1993-01-01,438.7799987792969,12.420000076293945
1993-02-01,443.3800048828125,13.15999984741211
1993-03-01,451.6700134277344,12.529999732971191
1993-04-01,440.19000244140625,12.420000076293945
1993-05-01,450.19000244140625,13.470000267028809
1993-06-01,450.5299987792969,11.260000228881836
1993-07-01,448.1300048828125,11.729999542236328
1993-08-01,463.55999755859375,11.850000381469727
1993-09-01,458.92999267578125,12.989999771118164
1993-10-01,467.8299865722656,11.460000038146973
1993-11-01,461.7900085449219,13.760000228881836
1993-12-01,466.45001220703125,11.65999984741211
1994-01-01,481.6099853515625,10.630000114440918
1994-02-01,467.1400146484375,14.869999885559082
1994-03-01,445.7699890136719,20.450000762939453
1994-04-01,450.9100036621094,13.770000457763672
1994-05-01,456.5,13.029999732971191
1994-06-01,444.2699890136719,14.970000267028809
1994-07-01,458.260009765625,11.130000114440918
1994-08-01,475.489990234375,11.970000267028809
1994-09-01,462.7099914550781,14.279999732971191
1994-10-01,472.3500061035156,14.5600004196167
1994-11-01,453.69000244140625,15.949999809265137
1994-12-01,459.2699890136719,13.199999809265137
1995-01-01,470.4200134277344,11.960000038146973
1995-02-01,487.3900146484375,11.75
1995-03-01,500.7099914550781,13.369999885559082
1995-04-01,514.7100219726562,11.75
1995-05-01,533.4000244140625,12.850000381469727
1995-06-01,544.75,11.380000114440918
1995-07-01,562.0599975585938,13.489999771118164
1995-08-01,561.8800048828125,11.520000457763672
1995-09-01,584.4099731445312,12.739999771118164
1995-10-01,581.5,13.829999923706055
1995-11-01,605.3699951171875,11.579999923706055
1995-12-01,615.9299926757812,12.520000457763672
1996-01-01,636.02001953125,12.529999732971191
1996-02-01,640.4299926757812,17.040000915527344
1996-03-01,645.5,18.8799991607666
1996-04-01,654.1699829101562,15.829999923706055
1996-05-01,669.1199951171875,16.06999969482422
1996-06-01,670.6300048828125,13.680000305175781
1996-07-01,639.9500122070312,19.459999084472656
1996-08-01,651.989990234375,17.010000228881836
1996-09-01,687.3300170898438,16.950000762939453
1996-10-01,705.27001953125,18.110000610351562
1996-11-01,757.02001953125,17.139999389648438
1996-12-01,740.739990234375,20.920000076293945
1997-01-01,786.1599731445312,19.469999313354492
1997-02-01,790.8200073242188,21.100000381469727
1997-03-01,757.1199951171875,22.139999389648438
1997-04-01,801.3400268554688,20.059999465942383
1997-05-01,848.280029296875,19.190000534057617
1997-06-01,885.1400146484375,21.530000686645508
1997-07-01,954.3099975585938,21.479999542236328
1997-08-01,899.469970703125,24.760000228881836
1997-09-01,947.280029296875,22.90999984741211
1997-10-01,914.6199951171875,35.09000015258789
1997-11-01,955.4000244140625,27.43000030517578
1997-12-01,970.4299926757812,24.010000228881836
1998-01-01,980.280029296875,21.469999313354492
1998-02-01,1049.3399658203125,18.549999237060547
1998-03-01,1101.75,24.219999313354492
1998-04-01,1111.75,21.18000030517578
1998-05-01,1090.8199462890625,21.31999969482422
1998-06-01,1133.8399658203125,19.709999084472656
1998-07-01,1120.6700439453125,24.799999237060547
1998-08-01,957.280029296875,44.279998779296875
1998-09-01,1017.010009765625,40.95000076293945
1998-10-01,1098.6700439453125,28.049999237060547
1998-11-01,1163.6300048828125,26.010000228881836
1998-12-01,1229.22998046875,24.420000076293945
1999-01-01,1279.6400146484375,26.25
1999-02-01,1238.3299560546875,27.8799991607666
1999-03-01,1286.3699951171875,23.260000228881836
1999-04-01,1335.1800537109375,25.06999969482422
1999-05-01,1301.8399658203125,25.389999389648438
1999-06-01,1372.7099609375,21.09000015258789
1999-07-01,1328.719970703125,24.639999389648438
1999-08-01,1320.4100341796875,24.450000762939453
1999-09-01,1282.7099609375,25.40999984741211
1999-10-01,1362.9300537109375,22.200000762939453
1999-11-01,1388.9100341796875,24.18000030517578
1999-12-01,1469.25,24.639999389648438
2000-01-01,1394.4599609375,24.950000762939453
2000-02-01,1366.4200439453125,23.3700008392334
2000-03-01,1498.5799560546875,24.110000610351562
