transactionDate,net_buys
2003-01-01,60.627906976744185
2003-04-01,55.33720930232558
2003-07-01,-464.4891304347826
2003-10-01,-650.9010989010989
2004-01-01,-592.3888888888889
2004-04-01,-418.16483516483515
2004-07-01,-351.4945054945055
2004-10-01,-766.6847826086956
2005-01-01,-787.1555555555556
2005-04-01,-470.9340659340659
2005-07-01,-731.1098901098901
2005-10-01,-642.1630434782609
2006-01-01,-859.4333333333333
2006-04-01,-841.5934065934066
2006-07-01,-863.054347826087
2006-10-01,-1212.2065217391305
2007-01-01,-1426.9222222222222
2007-04-01,-1526.0549450549452
2007-07-01,-1257.7934782608695
2007-10-01,-1223.8260869565217
2008-01-01,-72.21978021978022
2008-04-01,-1063.9120879120878
2008-07-01,-102.65217391304348
2008-10-01,559.5760869565217
2009-01-01,472.8
2009-04-01,97.47252747252747
2009-07-01,-375.4782608695652
2009-10-01,-184.8804347826087
2010-01-01,-169.24444444444444
2010-04-01,-26.571428571428573
2010-07-01,-29.293478260869566
2010-10-01,-221.1413043478261
2011-01-01,-125.8
2011-04-01,30.23076923076923
2011-07-01,206.15217391304347
2011-10-01,195.81521739130434
2012-01-01,-14.582417582417582
2012-04-01,227.78021978021977
2012-07-01,33.16304347826087
2012-10-01,68.41304347826087
2013-01-01,-14.066666666666666
2013-04-01,96.75824175824175
2013-07-01,-55.02173913043478
2013-10-01,-59.21739130434783
2014-01-01,9.455555555555556
2014-04-01,178.17582417582418
2014-07-01,40.55434782608695
2014-10-01,79.78260869565217
2015-01-01,38.44444444444444
2015-04-01,196.30769230769232
2015-07-01,240.75
2015-10-01,196.19565217391303
2016-01-01,282.9010989010989
2016-04-01,226.53846153846155
2016-07-01,48.42391304347826
2016-10-01,54.358695652173914
2017-01-01,-78.21111111111111
2017-04-01,181.5934065934066
2017-07-01,61.42391304347826
2017-10-01,23.043478260869566
2018-01-01,29.144444444444446
2018-04-01,163.52747252747253
2018-07-01,27.184782608695652
2018-10-01,459.0326086956522
2019-01-01,125.85555555555555
2019-04-01,310.04395604395603
2019-07-01,59.43478260869565
2019-10-01,-15.521739130434783
2020-01-01,194.4835164835165
2020-04-01,127.64835164835165
2020-07-01,-50.53260869565217
2020-10-01,-214.56521739130434
2021-01-01,-332.4
2021-04-01,-148.3846153846154
2021-07-01,-308.29347826086956
2021-10-01,-243.6413043478261
2022-01-01,77.92222222222222
2022-04-01,356.72527472527474
2022-07-01,47.68478260869565
2022-10-01,16.532608695652176
2023-01-01,14.722222222222221
2023-04-01,329.2637362637363
2023-07-01,-12.521739130434783
2023-10-01,-34.53260869565217
2024-01-01,-160.23076923076923
2024-04-01,63.362637362637365
2024-07-01,-170.19565217391303
2024-10-01,-71.72727272727273
